slice_type,slice_value,group_id,metric_dimension,metric,value
difficulty,easy,lite_belief_state,recovery,suffix_replan_events_mean,0.0
difficulty,easy,lite_belief_state,recovery,patch_minimality_hit_rate,
difficulty,easy,lite_belief_state,recovery,suffix_replan_prefix_preservation_rate,
difficulty,medium,static_top1,success,success_rate,1.0
difficulty,medium,static_top1,success,first_pass_success_rate,0.75
difficulty,medium,static_top1,cost,duration_ms_mean,215250.0
difficulty,medium,static_top1,cost,high_cost_call_mean,0.5
difficulty,medium,static_top1,cost,high_cost_failure_mean,0.0
difficulty,medium,static_top1,recovery,patch_events_mean,0.25
difficulty,medium,static_top1,recovery,replan_events_mean,0.0
difficulty,medium,static_top1,recovery,suffix_replan_events_mean,0.0
difficulty,medium,static_top1,recovery,patch_minimality_hit_rate,1.0
difficulty,medium,static_top1,recovery,suffix_replan_prefix_preservation_rate,
difficulty,medium,fixed_threshold_gate,success,success_rate,0.0
difficulty,medium,fixed_threshold_gate,success,first_pass_success_rate,0.0
difficulty,medium,fixed_threshold_gate,cost,duration_ms_mean,44000.0
difficulty,medium,fixed_threshold_gate,cost,high_cost_call_mean,0.0
difficulty,medium,fixed_threshold_gate,cost,high_cost_failure_mean,0.0
difficulty,medium,fixed_threshold_gate,recovery,patch_events_mean,0.0
difficulty,medium,fixed_threshold_gate,recovery,replan_events_mean,0.0
difficulty,medium,fixed_threshold_gate,recovery,suffix_replan_events_mean,0.0
difficulty,medium,fixed_threshold_gate,recovery,patch_minimality_hit_rate,
difficulty,medium,fixed_threshold_gate,recovery,suffix_replan_prefix_preservation_rate,
difficulty,medium,dynamic_no_belief_state,success,success_rate,0.0
difficulty,medium,dynamic_no_belief_state,success,first_pass_success_rate,0.0
difficulty,medium,dynamic_no_belief_state,cost,duration_ms_mean,16500.0
difficulty,medium,dynamic_no_belief_state,cost,high_cost_call_mean,0.0
difficulty,medium,dynamic_no_belief_state,cost,high_cost_failure_mean,0.0
difficulty,medium,dynamic_no_belief_state,recovery,patch_events_mean,0.0
difficulty,medium,dynamic_no_belief_state,recovery,replan_events_mean,0.0
difficulty,medium,dynamic_no_belief_state,recovery,suffix_replan_events_mean,0.0
difficulty,medium,dynamic_no_belief_state,recovery,patch_minimality_hit_rate,
difficulty,medium,dynamic_no_belief_state,recovery,suffix_replan_prefix_preservation_rate,
difficulty,medium,lite_belief_state,success,success_rate,0.0
difficulty,medium,lite_belief_state,success,first_pass_success_rate,0.0
difficulty,medium,lite_belief_state,cost,duration_ms_mean,5250.0
difficulty,medium,lite_belief_state,cost,high_cost_call_mean,0.0
difficulty,medium,lite_belief_state,cost,high_cost_failure_mean,0.0
difficulty,medium,lite_belief_state,recovery,patch_events_mean,0.0
difficulty,medium,lite_belief_state,recovery,replan_events_mean,0.0
difficulty,medium,lite_belief_state,recovery,suffix_replan_events_mean,0.0
difficulty,medium,lite_belief_state,recovery,patch_minimality_hit_rate,
difficulty,medium,lite_belief_state,recovery,suffix_replan_prefix_preservation_rate,
difficulty,hard,static_top1,success,success_rate,1.0
difficulty,hard,static_top1,success,first_pass_success_rate,0.0
difficulty,hard,static_top1,cost,duration_ms_mean,348000.0
difficulty,hard,static_top1,cost,high_cost_call_mean,0.0
difficulty,hard,static_top1,cost,high_cost_failure_mean,0.0
difficulty,hard,static_top1,recovery,patch_events_mean,1.0
difficulty,hard,static_top1,recovery,replan_events_mean,0.0
difficulty,hard,static_top1,recovery,suffix_replan_events_mean,0.0
difficulty,hard,static_top1,recovery,patch_minimality_hit_rate,1.0
difficulty,hard,static_top1,recovery,suffix_replan_prefix_preservation_rate,
difficulty,hard,fixed_threshold_gate,success,success_rate,0.0
difficulty,hard,fixed_threshold_gate,success,first_pass_success_rate,0.0
difficulty,hard,fixed_threshold_gate,cost,duration_ms_mean,33000.0
difficulty,hard,fixed_threshold_gate,cost,high_cost_call_mean,0.0
difficulty,hard,fixed_threshold_gate,cost,high_cost_failure_mean,0.0
difficulty,hard,fixed_threshold_gate,recovery,patch_events_mean,0.0
difficulty,hard,fixed_threshold_gate,recovery,replan_events_mean,0.0
difficulty,hard,fixed_threshold_gate,recovery,suffix_replan_events_mean,0.0
difficulty,hard,fixed_threshold_gate,recovery,patch_minimality_hit_rate,
difficulty,hard,fixed_threshold_gate,recovery,suffix_replan_prefix_preservation_rate,
difficulty,hard,dynamic_no_belief_state,success,success_rate,0.0
difficulty,hard,dynamic_no_belief_state,success,first_pass_success_rate,0.0
difficulty,hard,dynamic_no_belief_state,cost,duration_ms_mean,32000.0
difficulty,hard,dynamic_no_belief_state,cost,high_cost_call_mean,0.0
difficulty,hard,dynamic_no_belief_state,cost,high_cost_failure_mean,0.0
difficulty,hard,dynamic_no_belief_state,recovery,patch_events_mean,0.0
difficulty,hard,dynamic_no_belief_state,recovery,replan_events_mean,0.0
difficulty,hard,dynamic_no_belief_state,recovery,suffix_replan_events_mean,0.0
difficulty,hard,dynamic_no_belief_state,recovery,patch_minimality_hit_rate,
difficulty,hard,dynamic_no_belief_state,recovery,suffix_replan_prefix_preservation_rate,
difficulty,hard,lite_belief_state,success,success_rate,0.0
difficulty,hard,lite_belief_state,success,first_pass_success_rate,0.0
difficulty,hard,lite_belief_state,cost,duration_ms_mean,1000.0
difficulty,hard,lite_belief_state,cost,high_cost_call_mean,0.0
difficulty,hard,lite_belief_state,cost,high_cost_failure_mean,0.0
difficulty,hard,lite_belief_state,recovery,patch_events_mean,0.0
difficulty,hard,lite_belief_state,recovery,replan_events_mean,0.0
difficulty,hard,lite_belief_state,recovery,suffix_replan_events_mean,0.0
difficulty,hard,lite_belief_state,recovery,patch_minimality_hit_rate,
difficulty,hard,lite_belief_state,recovery,suffix_replan_prefix_preservation_rate,
